Food Name and Description,Protein,Total Fat,Carbohydrates
Bilimbi,0.7,0.2,4.5
Black/Java plum,0.8,0.4,16
Barbados gooseberry,1,0.7,6.3
Buri palm,0.7,0.1,17.8
Calamansi/Philippine lemon,0.4,1,8.3
Canistel,2.5,0.6,39.1
Cashew fruit,0.7,0.6,13.8
Java apple,0.4,0.1,7.8
Custard apple,1.4,0.2,31
Durian,2,1.2,36.1
Velvet apple,0.6,0.3,20.8
Grape,0.4,0.3,19.7
Guava red,0.9,0.4,23.8
Guava white,0.8,0.3,16
Jackfruit,1.4,0.4,25.4
Johey oak,1,0.4,30
Jamaica cherry,2,0.6,21.6
Jujube Indian/Chinese date,1,0.4,16.4
Kaffir lime,0.6,1.3,7
Kalumpit,1.3,0.4,17
Lanzon,1,0.3,14.2
Lemon,0.5,1.6,6.3
Lemon peel,1.1,0.3,18.6
Lime,0.8,2.4,6.3
Lime peel,3.4,0.2,26.5
Lipoti,0.7,2.5,12.9
Lychee/Litchi,1.5,0.1,20.1
Madras thorn,3.2,0.4,19.1
Malay apple,0.5,0.2,10
Malay gooseberry,0.8,0.7,7.7
Mango Indian unripe,0.3,0.2,12.5
Mango Manila super medium ripe,0.4,0.4,15.2
Mango Manila super ripe,0.6,0.2,16.4
Mango Manila super unripe,0.5,0.2,14.9
Mango paho unripe,0.7,0.6,16.4
Mango piko medium ripe,0.3,0.9,18.4
Mango piko ripe,0.7,0.2,18.9
Mango piko unripe,0.5,0.4,15.8
Mango supsupin ripe,1.2,0.5,20.5
Mangosteen,0.7,0.8,18.6
Many-spiked flacourtia,0.6,0.6,27.6
Marmalade plum,1.2,0.3,26.4
Melon,0.5,0.3,4.8
Melon honey dew,0.3,0.3,9.5
Melon watermelon,0.1,0.2,7.2
Orange Ladu,0.4,0.2,7.8
Orange Szinkom,0.3,0.2,6.9
Papaya fruit medium ripe,0.7,0.2,12
Papaya fruit ripe,0.5,0.3,12.1
Pear,0.4,0.6,12.6
Persimmon kaki,0.4,0.6,19.7
Philippine dillenia,0.3,0.2,7.4
Pineapple,0.4,0.2,13
Pomegranate,0.7,0.4,14.5
Pomelo,0.7,0.6,10.6
Rambutan,1.2,0.9,18.6
Rattan fruit,0.6,1.2,18.6
Santol,0.7,1,13.8
Sapodilla,0.5,0.9,24.5
Sapote,0.8,0.5,21.2
Stinking passion flower fruit,0.6,0.5,13.7
Stinking passion flower juice,0.8,0.6,11.8
Soursop,1.1,0.1,16.2
Spanish plum,0.9,0.2,20.6
Star apple green,0.7,1.1,15.3
Star apple purple,1.3,0.6,17.4
Starfruit,0.5,0.7,7.7
Strawberry,0.8,0.2,7.2
Sugar apple/Sweetsop,1.3,0.4,23.7
Sugar palm,0.1,0.2,4.3
Sugar palm boiled,0.1,0.2,2.8
Susong-kalabaw,0.7,0.4,8.1
Tamarind ripe,2,0.6,61.1
Tamarind unripe,0.9,0.3,17.7
Tamarind unripe boiled,0.7,0.1,6.6
Banana chips salted,1.8,41.2,51.8
Banana chips sweetn,1.5,35.1,61.6
Banana cracker sweetn,2.1,27.7,62.8
Banana fritter,3,3.9,48.1
Banana saba mashed w/ sugar & marg,1.4,3.6,41.4
Banana saba w/ sugar fried,2,2.6,37.8
Banana saba w/ sugar wrapped fried,2.4,6.4,48
Bilimbi pickled,0.5,0.1,4.7
Cherry in syrup drnd,0.2,0.5,25.1
Date dried,1.7,2.8,78.6
Dikyam,1.9,1.6,56.1
Fruit cocktail tropical in syrup cnd,0.2,0.2,25
Jujube Indian/Chinese date dried,1.1,0.5,80.9
Mango chips dried,1.6,1,87.3
Peach in heavy syrup cnd,0.4,0.9,15.8
Pineapple crushed cnd,0.5,0.2,20.9
Pineapple slice cnd,0.4,0.8,27.5
Prune,2.5,0.7,65.5
Raisin,3.5,1.1,78.9
Dragon fruit,1,1,13.2
Kandis flesh,0.3,0.5,14.9
Kandis pulp,0.3,0.2,14.3
Libas fruit ripe,0.8,0.1,11.7
Libas fruit unripe,0.8,0.1,8.9
Maraitum,0.5,0.2,22
Palau-biyok,0.6,0.3,27.5
Sapinit,1.2,1.1,15.2
Tabo,0.4,0.2,26.7
Beef blood,20.6,0.6,0.5
Beef blood bbq,19.7,1.1,1.1
Beef brain,10.3,9.4,0.3
Beef brain boiled,12.2,11.3,1.2
Beef brisket,18.2,15.4,0
Beef chuck,19,10.5,0
Beef chuck lean boiled,11.4,2.4,10.4
Beef club steak,23.1,1.3,0
Beef flank,19.4,15,0
Beef head,25,4.2,0.4
Beef heart,18.8,6.2,1.9
Beef intestine large,5,8.1,2.6
Beef intestine small,16.4,4.2,1.4
Beef kidney,16.2,2.2,1.1
Beef lean meat,23.1,4.6,0
Beef lean meat boiled,25.3,5,0
Beef lean meat broiled,30.4,3,0
Beef lean meat fried,30.2,6.9,0
Beef liver,20.6,3.2,8.3
Beef liver boiled,25.5,4,4
Beef lung,17.2,1.8,3.2
Beef mammary,6.6,55.4,6.2
Beef omasum,15.1,3.8,0
Beef omasum boiled,14.8,3.7,0
Beef plate,18.2,14.5,0
Beef porterhouse steak,23.4,1.3,0
Beef reticulum,13.9,12.1,1.4
Beef reticulum boiled,11.5,13.4,0
Beef rib roast,15.1,28.2,0
Beef round,20.7,6.2,0
Beef round boiled,19.2,3.2,0
Beef round broiled,21.4,5.1,0
Beef round fried,21.1,6.2,0
Beef rump,20.7,2.4,0
Beef shank,21.5,3.2,0
Beef shank boiled,19.5,1.5,0
Beef short rib,20.2,18.6,0
Beef sirloin,20.5,5.6,0
Beef sirloin boiled,18.3,3.6,0
Beef sirloin broiled,22.2,5.5,0
Beef sirloin fried,23.5,6.4,0
Beef spleen,18.2,2,1
Beef spleen boiled,16.4,2.2,0
Beef stomach,17.6,5.3,0.2
Beef tail,15.8,33,0
Beef tenderloin,22.8,4.1,0
Beef tongue,14.8,15.2,4.4
Beef tongue boiled,11.4,12,18.3
Beef tripe,11,5.8,1.4
Beef tripe boiled,10.3,5.2,1.5
Beef uterus,15.8,1.2,3.5
Carabeef blood,18.6,0,0.2
Carabeef brain,9.4,10.1,1.9
Carabeef chuck,18.6,2.8,0
Carabeef heart,17.4,4.6,0.7
Carabeef intestine large,9.3,11.9,5.2
Carabeef intestine small,10.4,9.7,4.7
Carabeef kidney,14,1.8,1.1
Carabeef lean meat,20.6,0.8,0
Carabeef lean meat boiled,22.4,1.2,0
Carabeef liver,15.5,1.7,7.6
Carabeef lung,18.6,1.4,0
Carabeef omasum,8.7,0.2,0.1
Carabeef reticulum,11.2,6.9,2.9
Carabeef round,20.4,1.4,0
Carabeef round steak,21.4,1.6,0
Carabeef rump,19.3,0.9,0
Carabeef shank,20.2,2.4,0
Carabeef spleen,21.2,1.5,0
Carabeef stomach,18.7,0.7,0
Carabeef w/ fat,21.8,3.6,0
Carabeef w/ fat boiled,26.9,4.4,0
Chevon back,20.4,1.6,0
Chevon breast,17.7,1.2,0
Chevon flank,16.6,9.2,0
Chevon heart,17.1,5.9,0.8
Chevon intestine small,10.2,3.4,0
Chevon kidney,15.9,3.5,0.4
Chevon leg,17,0.4,0
Chevon liver,22.1,3.4,2.6
Chevon loin,22.3,0.6,0
Chevon lung,17,2.1,1.6
Chevon neck,23.3,3.1,0
Chevon rib,19.9,1.2,0
Chevon shank,19.8,1.1,0
Chevon shoulder,17.4,2.3,0
Chevon stomach,9.8,1.1,1.9
Chick one-day old fried,25.3,14.6,1.2
Chicken back,17.4,15.3,0
Chicken blood,13.9,0.1,0.5
Chicken breast,21.6,5,0
Chicken feet,24.7,9.8,0
Chicken feet bbq,26.9,11.9,3.6
Chicken gizzard,21.8,1,2.5
Chicken head,13.1,8.2,0.8
Chicken head bbq,20.5,14.7,1.3
Chicken heart,11.6,15.9,1.9
Chicken intestine,13,11.4,0
Chicken intestine bbq,28.2,9.6,3
Chicken leg/drumstick,17.1,15.1,0
Chicken liver,18.1,3.9,4
Chicken neck,14.1,28.6,0
Chicken pullet breast,19.6,2.7,0
Chicken pullet thigh,19.6,2.7,0
Chicken thigh,19.8,7.7,0
Chicken thigh & leg,17.6,13,0
Chicken wing,18.9,13.2,0
Chicken white meat,20.6,3.1,0
Chicken white meat boiled,32.9,4.6,0
Chicken white meat fried,40.3,7.2,0
Chicken whole,17.4,16.2,0
Duck back,22.6,11.2,0
Duck blood,10.7,0.1,4.5
Duck breast,22.8,7.3,0
Duck gizzard,22.1,2.2,0
Duck liver,15.6,3.8,4.9
Duck thigh,20.5,9.9,0
Duck wing,24.4,5.2,0
Duck wild breast,19.9,0.6,0
Duck wild thigh,19.5,0.8,0
Frog meat,20.9,0.6,0
Goose breast,23.4,3.2,0
Goose thigh,23,3.9,0
Lamb flank,16.6,9.2,0
Lamb foreshank,19.9,6.1,0
Lamb hind shank,20.6,4.6,0
Lamb liver,21.8,4,3.1
Lamb loin,20.2,4.7,0
Lamb lung,17.3,1.7,2.5
Lamb neck,18.9,7.3,0
Lamb riblet,16.9,9.9,0
Lamb roast/back,19.2,5.8,0
Lamb shoulder,16.1,7.7,0
Moor hen breast,21.4,6.8,0
Moor hen gizzard,22.5,1.6,2.2
Moor hen liver,18,3.5,6.5
Moor hen thigh,20.1,5.9,0
Pigeon breast,17.1,15.4,0
Pigeon thigh,14.6,20.1,0
Pigeon squab/young meat,17,9.5,0
Pork back fat,11.6,51.8,0
Pork belly,14.5,37.2,0
Pork belly broiled,14,17.4,0
Pork belly fried,12.3,21.8,0
Pork belly boiled,13,43.6,0
Pork blood,11.6,0,2.1
Pork Boston butt,14.3,30.2,0
Pork Boston butt boiled,10.1,33.9,0
Pork Boston butt broiled,13.9,16.4,0
Pork Boston butt fried,14.2,20.2,0
Pork Boston butt lean,17.3,23.2,0
Pork Boston butt lean boiled,15.6,16.6,0
Pork Boston butt lean broiled,22.3,7.2,0
Pork Boston butt lean fried,20.5,6,0
Pork center loin,12.5,52.1,0
Pork chop,14.5,36.9,0
Pork ear,11.8,36.9,1.3
Pork ear bbq,23.8,25.9,5.4
Pork ham,16.3,25.8,0.1
Pork head,14.4,28.8,2.3
Pork heart,16.4,5.3,0.6
Pork intestine large,9.6,2.2,5.6
Pork intestine small,12.6,2.3,0
Pork intestine small bbq,20.6,24.8,3
Pork kidney,14.4,3.9,3.1
Pork kidney boiled,13.9,3.2,5.3
Pork leg,20.2,13.6,0
Pork liver,18,2.8,5.5
Pork liver boiled,17.8,3.5,16.9
Pork liver broiled,19.8,4.4,15.4
Pork liver fried,19.9,5.4,17.1
Pork lung,12.2,1.8,2
Pork picnic,13.4,37,0
Pork picnic boiled,14.8,34.3,0
Pork skin,19.8,26.6,0
Pork spare rib,14.6,26.1,0
Pork spleen,16.1,2.5,0
Pork spleen boiled,15.2,3.7,0
Pork stomach,13.1,6.5,2.6
Pork tail,15.4,46.1,0
Pork tenderloin,16.7,18.9,0
Pork tongue,14.8,20.1,0.1
Pork uterus,15.4,1.7,0
Pork suckling belly,18.3,11.2,0
Pork suckling blood,11.5,0,2.6
Pork suckling brain,10.2,9.7,0.2
Pork suckling heart,16.3,6.6,0
Pork suckling intestine large,9.1,2.5,6.9
Pork suckling intestine small,12.5,0.9,0.6
Pork suckling kidney,15.9,3.4,0.3
Pork suckling leg,19.9,5.4,0
Pork suckling liver,16,2.8,6.6
Pork suckling lung,15.8,2.4,0.6
Pork suckling spare rib,17,11.1,0
Pork suckling spleen,15.6,4.2,1.3
Pork suckling stomach,14.3,4.2,0
Quail meat,21.1,7.7,0
Rabbit liver,15.4,2.5,6.6
Rabbit thigh,18.6,2.2,0
Rabbit white meat,18.2,2.4,0
Snipe lean meat,21,3.2,0
Turkey breast,24.1,0.4,0
Turkey liver,19.2,3.9,2.9
Turkey thigh,20.3,2.1,0
Venison rib,21.9,0.1,0
Venison thigh,21.9,0.2,0
Bacon,11.1,58.3,8.4
Beef chunk cnd,14.7,18.3,7
Beef jerky,13.8,3.6,3.7
Beef spread,14.6,14.5,9.6
Beef sweet cured,18.1,0.8,0
Carabeef jerky,51.7,1.5,0
Chicken liver spread,8.4,15.4,9.8
Chicken meat ball,9.8,4.8,16.1
Chicken nugget,15.5,11.2,14.3
Sausage chicken,10.7,10.8,11.3
Chicken spread,10.4,14.5,9.6
Corned beef loaf,13.3,17.9,3.1
Corned beef cnd,17.9,10.7,0
Embotido,10.1,8.5,11.7
Ham,16.4,39.5,0
Ham chopped cnd,14.1,16.1,4.6
Ham deviled spread,13.8,18.9,7.2
Ham pork sweet chopped,10.7,4.4,8.7
Hamburger patty,10.8,20.1,23.8
Liver pate cnd,14.5,17.5,4
Liver spread,9.3,9.8,14.9
Luncheon meat cnd,13.7,26.4,3.7
Luncheon meat deviled spread,12.1,28.4,1
Luncheon meat pork & ham,13.6,28.6,2.3
Luncheon meat pork Chinese style,10.7,25,7.1
Meat loaf,9.7,7.7,13.1
Pork crackling internal organ,37.8,24.6,0
Pork crackling skin,65.6,36.5,0
Pork jerky,15.9,19.2,10.2
Pork sweet cured,11.2,6.4,25.9
Pork sweet cured Pampanga,10.1,13.8,14.7
Potted meat spread w/ cereal cnd,7.7,9.9,16.6
Sausage bologna,10.1,11.7,4.9
Sausage chorizo,29.6,33.2,5.8
Sausage chorizo Bilbao style,18,40.3,0.2
Sausage frankfurter,13.3,15.1,4.8
Sausage ham,14.1,10.3,2.8
Sausage hotdog,13.4,17,4.8
Sausage hotdog smoked,12.9,10.8,2.7
Sausage hotdog w/ cheese,11.7,18.1,8.8
Sausage mortadella,8.6,22.1,6.7
Sausage pork,11.8,22.7,15.8
Sausage pork & beef,13.5,38.5,7.8
Sausage pork Chinese,15.6,42.6,13
Sausage salami,16.2,18.7,2.7
Sausage Vienna,8.8,10.5,8.4
Sausage Vienna tidbits,8.3,6.6,8.5
Venison jerky,62.8,8,0
Chicken blood bbq,16,1.7,2.8
Chicken whole seasoned roasted,24.8,12,4.7
Chicken whole seasoned roasted skin and visible fat removed,26.2,5.4,2.2
Pork bbq,21.5,29.8,13.5
Pork back seasoned roasted skin and visible fat removed,31.2,4.9,2
Pork belly seasoned roasted,21,31.6,4.1
Pork belly seasoned roasted skin and visible fat removed,24,22.6,0
Pork skin seasoned roasted,33,47.4,0
Beef franks raw,13.9,16.1,1
Sausage pepperoni raw,12.8,18.6,4.6
Abalone,20.5,0.9,7.4
Abalone juice,10.6,0.4,7.1
Amber fish,18.1,0.9,0
Sinarapan,13.3,1.2,0
Anchovy Indian (adult),20.9,0.1,0.1
Anchovy long-jawed w/o head,19.9,5.5,0
Anchovy long-jawed whole,14.1,1.4,0
Barracuda striped,19.7,1.2,0
Butterfly fish threadfin,19.8,0.6,0
Fusilier goldband,21.5,4.7,0
Cardinal fish,17.4,0.4,0
Carp,17.8,12.6,0
Catfish freshwater,18.7,0.6,0
Catfish saltwater,18.2,1.5,0
Cavalla banded,20.1,3.1,0
Cavalla banded fried,20.2,8.8,0
Cavalla banded steamed,11.2,2.5,0
Clam bilakong,10.2,2,5.8
Clam freshwater tulya,7.6,1.9,11.8
Clam freshwater tulya boiled,8.9,1.9,13
Clam halaan,6.7,0.7,3.5
Clam halaan boiled,10.5,1.1,5.4
Clam imbao,6.8,0.8,7.3
Clam imbao boiled,6.4,0.6,4.1
Clam kabibi,9,1.6,3
Clam kanturi,12.2,1,0.3
Clam lukan,5.1,0.7,4
Clam rayed shell,8.7,0.8,1.4
Clam razor shell,8,0.4,1.4
Clam tongue,12.4,3.4,4.4
Clam tongue head blanched,5.9,2,9.4
Clam tongue tail,9.4,0.4,2.5
Clam venus,12.8,2,17.3
Clam wedge shell/bean,8.8,1.7,5.1
Climbing perch common,17.4,0.2,0
Crab blue swimming fat,11.5,4.4,0
Crab blue swimming w/o fat,19.9,0.5,2.2
Crab blue swimming w/o fat boiled,19.4,0.9,3.1
Crab mud/mangrove fat,26,5.6,8.5
Crab mud/mangrove w/o fat,18.5,3.2,0
Crab mud/mangrove w/o fat boiled,17.6,1.9,0
Crab shore,13.8,3.8,8.1
Crevalle deep-bellied,19.4,1,0
Crevalle even-bellied,17.7,1.6,0
Croaker tigertooth,19.1,1.4,0
Croaker plain,19.1,0.4,0
Croaker smooth-scaled whiskered,18.6,1.1,0
Drepane speckled,16.8,1.4,0
Eel silver pike,17.5,0.2,0
Eel swamp,19.2,6.9,0
Fish roe,17.3,5.6,0.9
Flatfish/Brill rough-scaled,20.5,0.2,0
Flatfish/Brill smooth-scaled,19.7,0.2,0
Flatfish/Turbot Indian,23,0.2,0
Flathead Indian,22.1,0.2,0
Flying fish,21,0.2,0
Garfish common,26.6,0.9,0
Gizzard shad short-finned,18.6,0.4,0
Goatfish ochrebanded,18.7,1.3,0
Goby flat-headed,19.7,0.2,0
Goby long-tailed,16.8,2.4,0
Gouramy,16.9,2.6,0
Grouper whitespotted,14.9,0.4,0
Hair tail largehead,19.1,0.4,0
Halfbeak long billed,19.2,1.2,0
Hard-tail,21.4,1.2,0
Herring big-eyed,22.2,0.8,0
Herring deep-bodied,19.7,1.3,0
Lizard fish common,18.2,0.2,0
Mackerel short-bodied,21.6,2.4,0
Mackerel short-bodied fried,21.6,14.9,0
Mackerel Spanish,17.6,1.1,0
Mackerel Indian,21.8,3.4,0
Milkfish,19.8,6.4,0
Milkfish broiled,23.4,4.8,0
Milkfish fried,23.6,10.4,0
Mojarra longfin,18.9,0.2,0
Mojarra whipfin,20.4,0.6,0
Moonfish spotted,24.4,2,0
Moray,20.1,4,0
Mudfish/Murrel striated,21.2,1.6,0
Mudfish/Murrel striated boiled,22.8,0.4,0
Mullet black-finned,19.3,4,0
Mullet large-scaled,20,1,0
Mussel green,13.6,7.5,11.1
Mussel green boiled,3.1,0.4,4.3
Bream doublewhip threadfin,19,1.5,0
Octopus,13.3,0.6,0
Oyster,5.9,1.7,5.2
Oyster window pane meat,23.3,1.4,3.3
Parrot fish daisy,20,0.4,0
Threadfish Indian,20.5,0.8,0
Silvergrunt bluecheek,19.2,0.7,0
Pomfret black,18.8,2,0
Bream humpnose big-eye,18.9,0.5,0
Emperor pink ear,21.1,0.5,0
Seabream goldsilk,19,0.1,0
Red snapper/Malabar,15.6,0.2,0
Runner rainbow,19.6,0.7,0
Sardine bombon,19.3,4.1,0
Sardine fimbriated,20.5,2.7,0
Sardine fimbriated fry,20.6,2.1,0
Sardine Indian,19.5,4.7,0
Scad big-eye,20.8,2.4,0
Scad round,20.4,2.1,0
Sea bass,17.8,0.4,0
Sea catfish smooth-headed,21.3,0.4,0
Sea cucumber,5.1,0.1,0.3
Shrimp banana prawn,19,0.8,2
Shrimp banana prawn boiled,11.2,0.4,14
Shrimp freshwater,19.4,1.7,0
Shrimp freshwater (small),20.2,1.9,0
Shrimp giant tiger prawn,20,0.9,1.2
Shrimp giant tiger prawn head,11.9,2.2,1.6
Shrimp greasy back,17.7,0.6,0.4
Shrimp greasy back boiled,18.2,0.4,1.9
Shrimp sergestid,16.6,1.3,0
Siganid javan,19.8,1.1,0
Silver-bar fish,21.1,0.3,0
Slipmouth black-finned,18.7,1.5,0
Slipmouth common,18.2,2,0
Snail black,12.2,0.4,6.6
Snail freshwater,9.4,0.8,12.2
Snail golden,12.8,0.6,4.3
Spadefish,20.3,2,0
Squid,15.6,1,0
Squid boiled,17.4,1.2,0
Sting ray blue-spotted,18.3,0.1,0
Sting ray honeycomb,14.3,0.2,0
Surgeonfish blue-lined,17.8,0.7,0
Swordfish,19.2,4,0
Tarpon,20.8,0.5,0
Ten-pounder Hawaiian,18.8,0.2,0
Therapon convex-lined,18.3,0.6,0
Theraponid silvery,18.4,0.2,0
Terapon largescaled,20.8,0.6,0
Threadfin fish,18.4,0.8,0
Threadfin fourfinger,17.9,0.1,0
Threadfin small-mouth,19.7,0.2,0
Tilapia,18.1,3.8,0
Tuna frigate,24,2.6,0
Tuna yellow-fin,23.6,1.4,0
Whiting common,21.1,0.5,0
Amber fish dried,57.2,5.1,0
Anchovy long-jawed dried,69,4.7,0
Anchovy long-jawed dried ground,82,2.6,0
Fusilier goldband dried,42.6,4.9,0
Catfish freshwater dried,45.6,10.3,0
Catfish saltwater dried,43.9,2.8,0
Cavalla banded dried,44.2,4.6,0
Cod dried,51.8,1.2,0
Crab mud/mangrove meat cnd,23.5,0.8,0.3
Crevalle deep-bellied dried,43.6,12.6,0
Croaker plain dried,41.9,3.7,0
Eel swamp dried,47.4,5.4,0
Fish ball,8.6,0.5,20.6
Fish ball fried,10.3,10.2,33.3
Fish preparation quekiam,4.2,2.1,23.4
Flatfish/Brill rough-scaled dried,54.7,1.4,8.7
Flatfish/Brill rough-scaled dried,47.7,1.1,0
Gizzard shad short-finned dried,26,5,0
Gizzard shad short-finned smoked,26.6,2.6,0
Goby flat-headed dried,44.8,0.9,0
Sinarapan dried,55.5,7.7,0
Grouper whitespotted dried,35.8,1.6,0
Hard-tail dried,48.7,2.7,0
Jellyfish dried,7.2,0.5,8.8
Lizard fish common dried,41.5,1.3,0
Mackerel scad in tomato sce cnd,13.4,9.4,2.2
Mackerel short-bodied dried,41.2,4.1,0
Mackerel short-bodied smoked,29.8,2.2,0
Mackerel Spanish dried,41,2.2,0
Mackerel Indian dried,41,3.2,0
Mackerel Indian in tomato sce,16.5,4.1,0
Milkfish dried,51.2,23.3,0
Milkfish in natural oil cnd,16.6,4.5,0.3
Milkfish in spiced oil cnd,15.8,25.4,0.9
Milkfish smoked,27.2,11.5,0
Mudfish/Murrel striated dried,45.7,3.6,0
Mullet black-finned dried,31.3,7.1,0
Mullet large-scaled dried,45.4,1.9,0
Bream doublewhip threadfin dried,35.4,2.3,0
Oyster dried,46,7.9,24.9
Parrot fish daisy dried,59.2,0.6,0
Emperor pink ear dried,43.3,0.9,0
Seabream goldsilk dried,40.1,3.6,0
Red snapper/Malabar dried,45,2.7,0
Runner rainbow in oil cnd,20.4,8.2,9
Sardine bombon dried,26.2,5.8,0
Sardine bombon smoked,31,3.4,0
Sardine fimbriated fry dried,40.9,2.1,0
Sardine fimbriated fry dried,57.3,12.6,0
Sardine fimbriated smoked,31.2,4,1.9
Sardine Indian dried,37.4,1.1,0
Sardine Indian dried,43,4.8,0
Sardine Indian smoked,30,4.4,0
Sardines in spiced oil cnd,19.8,39.9,0
Sardines in tomato sce cnd,9.7,4.3,2.7
Sardines smoked cnd,29,4.2,0.8
Scad big-eye dried,39.8,1.7,0
Scad big-eye smoked,25.5,3.6,0
Scad round dried,41.1,3.8,0
Scad round smoked,31.6,3.5,0
Sea bass dried,44,7.6,0
Shrimp freshwater (small) dried,23.1,2.3,33.2
Shrimp sergestid dried,52.4,3.6,10.2
Shrimp small marine dried,57.4,2.2,3.4
Siganid javan dried,42.5,1.6,0
Slipmouth common dried,36,4.5,0
Slipmouth common dried,42.8,4.7,0
Squid dried,62.3,4.4,0
Sting ray honeycomb dried,49,0.9,1.3
Surgeonfish blue-lined dried,34.7,5.2,0
Swordfish dried,53.5,4,0
Theraponid silvery dried,54.6,13.5,0
Tilapia dried,60.6,7.8,0
Tuna adobo cnd,14,7.6,4
Tuna fillet in soya oil cnd,28.6,21.6,0
Tuna fillet in veg oil cnd,28,15.9,0.6
Tuna flakes in brine cnd,17.9,2.6,0.1
Tuna flakes in veg oil cnd,15.4,26.7,1.7
Tuna mechado cnd,11.1,5.7,6.3
Tuna sardines in oil cnd,16.4,12.5,1.3
Tuna spread cnd,25.2,25.6,0
Tuna frigate dried,52.7,2.4,4.7
Tuna yellow-fin dried,54.5,1.3,0
Egg ant,17.4,3.8,5
Egg chicken white,12.7,0.2,2
Egg chicken whole,12.3,9.4,1.4
Egg chicken whole boiled,14,12,0.6
Egg chicken yolk,14.3,27,3.9
Egg duck white,13.8,0.1,0
Egg duck whole,11.7,12.6,4.1
Egg duck yolk,16.4,31,3.1
Egg quail,11.8,10.6,2.7
Egg quail boiled,11.8,10.4,2.2
Egg duck century,12.5,11.6,15.1
Egg duck fertilized boiled,12.8,12.4,2.2
Egg duck fertilized embryo,9.6,0.7,2.6
Egg duck fertilized white,25.4,0.6,7.6
Egg duck fertilized yolk,14.8,31.2,2.9
Egg duck infertile boiled,13.6,14.4,3.5
Egg duck whole salted,13.6,13.3,4.4
Egg quail pickled,8.1,6.9,1.8
Cheese cheddar pasteurized processed,21.7,22.7,7.8
Cheese cottage,13.2,3,3.6
Cheese filled,16.2,23.4,5.5
Cheese native,13.2,25,5.3
Cheese pimiento,19.9,27.9,5.8
Cheese spread,14,11,13.7
Cream,2.3,23.9,4.2
Ice cream,4.2,9.5,13.7
Ice cream strawberry flvr,3.4,10.9,17.7
Milk drink cultured,1.2,0.2,16
Milk drink recon strawberry UHT,2.9,1.2,10.8
Milk buttermilk,3.5,0.5,6.2
Milk carabao,5.4,9.5,4.3
Milk cow,3.3,3.6,4.8
Milk evaporated,7.7,7.8,11.7
Milk evaporated filled,7.6,4.8,11.6
Milk goat,3.6,4.1,5.3
Milk human,1.4,3.5,7.6
Milk pwdr filled inst,26.2,28,37.8
Milk pwdr full cream,24.1,22.5,45.2
Milk pwdr infant formula,18.3,3,72.2
Milk pwdr non-fat inst,34.9,1,53.1
Milk pwdr skim,40.8,0.8,48
Milk recombined,5.2,5.5,4.2
Milk sweetn cond filled,8.5,7,59.3
Yoghurt,5.3,4.5,5.4
Butter,0.5,85.5,0
Coconut milk,5.5,34.8,1.9
Fat pork,0,100,0
Margarine,0.3,91.9,0.5
Margarine fortified,0.1,90.8,0
Mayonnaise,1.2,78.3,1.4
Oil coconut,0,99.1,0
Oil corn,0,99.6,0
Oil fish,0,100,0
Sandwich spread,0.7,29.4,24.7
Breadfruit candied,0.6,0.5,83.4
Candy bar peanut,20.3,29.9,46.1
Candy bar pili nut,5.7,30.1,60.7
Candy custard,4.1,1.6,87.6
Candy hard,0.1,1.8,96
Candy milk choc,9.8,26.4,60.2
Candy pili nut,7.5,52.7,33.6
Candy pulled,0.6,0.2,95.4
Candy toffee,2.2,0.3,88.8
Carageenan gel assorted fruit-flvr,0,1.2,27.5
Caramelo,0,0,99.5
Champoy,0.3,0.8,95.5
Chocolate tablea,4.3,18.2,75.1
Coco jam,1,1.8,89.2
Creme custard,5.9,4.3,41.4
Fudge durian,13.5,0.2,75.5
Fudge jackfruit,8.9,0.3,79.9
Fudge milk,9.9,1.4,79.5
Fudge yam,8,1.5,75.9
Honey,0.1,0.1,64.1
Ice candy,0,0,16.5
Ice drop,0.6,0.2,19.5
Jam jackfruit & pineapple cnd,0.7,0.1,48.6
Jam mango cnd,0.9,0.2,70.5
Jam pineapple,0.2,1.1,71.7
Jam yam,7.1,0.4,66.1
Jelly guava,0,0.8,84.5
Jelly pineapple,0.1,0.7,75.9
Jelly strawberry,0.1,1,61.4
Masareal,13.9,21.2,59.4
Marshmallow,3,0.3,75.6
Milk choc bar orange crunch,2.7,28.7,66.5
Nata de coco sweetn,0,0.2,36.1
Nata de piña sweetn,0.1,0.2,44.6
Peanut brittle,15,24.2,53.9
Peanut brittle w/ sesame seed,14,27.6,54.4
Peanut milk choc-coated,13.8,25.2,56
Polvoron,6.8,16.4,73.6
Popsicle choc flvr,0.8,0.5,18.8
Sugar brown,0.1,0.3,98.7
Sugar crude pakaskas,2.2,0.2,83.9
Sugar crude panocha,0.2,0.4,92.8
Sugar pwdr,0,0,100
Sugar white refined,0,0,99.9
Syrup,0,0.1,76.8
Syrup molasses cane,1.8,0.4,62.4
Tamarind candied,0.4,0.7,81.7
Wax gourd candied,0.2,0.1,81.2
Sugar coconut sap,1.2,0.1,94.8
Syrup coconut sap,1,0.1,79.1
Bilimbi dried,11.4,9,68.5
Bouillon cube beef,10.4,21.2,13
Bouillon cube chicken,15.3,22.3,11
Catsup banana,0.7,0.2,54
Catsup tomato,1.6,0.6,29.9
Clam paste ginamos,7.5,0.4,8.9
Fish paste anchovy,10,2.5,17.5
Fish paste balatohan,8.1,3.2,25.1
