Food Name and Description,Protein,Total Fat,Carbohydrates
Pasta macaroni,14.3,0.2,73.5
Pasta spaghetti,12.4,1.1,75.4
Pasta spaghetti boiled,5.5,0.1,33.3
Popcorn and peanuts sweetn,5.1,12.8,77.8
Popcorn salted,6.7,18.6,69.2
Popcorn sweetn,4,11,81.9
Pretzel choc-coated,8.1,18.6,68.8
Pretzel sweetn,8.5,11.1,76.9
Pudding pineapple,4.7,1.7,58.5
Pudding raisin,8.1,2.9,40.5
Pudding vanilla,6.2,1.5,61.8
Puffs bbq flvr,7.5,14.6,70.9
Puffs cheese flvr,6,26.5,60
Puffs chicken flvr,6.8,13.4,75.2
Puffs spiced,7.4,8.9,77
Rice cake (glutinous) bibingka,2.8,1,59
Rice cake (glutinous) biko,2.2,0.9,58.7
Rice cake (glutinous) biko w/ grtd coconut topping,3.3,1.6,54.7
Rice cake (glutinous) biko w/ purple rice,2.6,0.4,53.2
Rice cake (glutinous) Chinese tikoy,2.5,0.3,59.4
Rice cake (glutinous) Chinese tikoy w/ peanut,6.4,1.8,51.4
Rice cake bibingka,3.6,0.9,52.9
Rice cake bibingka w/ cheese & coconut topping,2.8,2.6,47.2
Rice cake puto bumbong purple,3.5,1.3,56.5
Rice cake puto brown,2,0.1,49.3
Rice cake puto white,2.8,0.3,49.9
Rice cake puto white w/ grtd coconut topping,2.7,1.1,47.1
Rice cake cuchinta,1.4,0.8,38.4
Rice cake cuchinta w/ grtd coconut topping,1.6,3.2,32.4
Rice flour,7.6,0.3,81.3
Rice flour prep tamales,1.3,0.9,21.8
Rice gruel thin,1.4,1.1,13.9
Rice prep (glutinous) butse w/ mung bean filling,6.4,12,48.9
Rice prep (glutinous) butse w/ sweet potato filling,5.6,8.2,53.5
Rice prep (glutinous) kalamay w/ coconut curd topping,2.7,0.4,48.5
Rice prep (glutinous) kalamay w/ yam,2.2,0.3,41.7
Rice prep (glutinous) palitaw,2.6,2.8,42.5
Rice prep (glutinous) palitaw w/ grtd coconut & sugar,2.6,4.5,40.5
Rice prep (glutinous) sapin-sapin,1.1,0.4,30.3
Rice prep (glutinous) suman sa ibos,3.1,0.7,38
Rice prep (glutinous) suman lye-treated,3.2,0.4,43.6
Rice prep (glutinous) suman w/ grtd coconut topping,2.6,2.4,44.8
Rice prep (glutinous) tupig,3.6,2.6,65.6
Rice prep espasol,4,3.6,65.8
Rice water ckd thin,0.1,0.2,3.8
Rice crispies,3,0.6,88.8
Rice-bread prep toasted puto seko,6,1.8,87
Rice-bread prep toasted puto seko w/ grtd coconut,4.4,5.5,83.8
Spring roll wrapper plain,10.6,0.5,67.2
Wheat flour all-purpose,12.6,0.8,73.7
Wheat flour all-purpose enr bleached,11,3.6,75.2
Wheat flour cake flour enr bleached,8.9,1.7,79.7
Instant noodles chicken flvr raw,10.5,17.5,57.3
Instant noodles chicken flvr ckd,1.3,2.1,6
Cassava,0.6,0.2,35.3
Cassava boiled,0.4,0.1,27.1
Cassava yellow,0.7,0.2,37.7
East Indian arrowroot,3.1,0.1,32.6
East Indian arrowroot boiled,3.1,0.2,18.5
Palauan,0.5,0.2,37.3
Potato,2.4,0.1,16.8
Potato boiled,1.7,0.1,13.7
Sweet potato purple,0.6,0.4,29.8
Sweet potato purple boiled,0.6,0.2,29.5
Sweet potato white,0.7,0.5,24.3
Sweet potato white boiled,0.4,0.8,29.3
Sweet potato yellow,1.1,0.4,31.8
Sweet potato yellow boiled,0.5,0.3,30.7
Taro,2.3,0.2,32.6
Taro boiled,1.5,0.1,24.4
White spot arum,3.1,0.2,11.7
Yam Luzon,2.5,0.1,22.1
Yam nami,2.3,0.3,23.3
Yam purple,1.7,0.2,22.2
Yam purple boiled,0.7,0.1,18.2
Yam spiny,1,2.7,28.2
Yam spiny boiled,0.4,1.2,14.1
Yautia,0.8,0.1,29.4
Arrowroot starch,0.1,0.5,86.4
Cassava cake bibingka,0.4,0.3,44.1
Cassava flour,1.1,0.7,87.8
Cassava fritter,0.7,10,66.7
Cassava pudding,1.2,0.5,48.4
Cassava mashed w/ sugar & marg,0.4,1.3,42.4
Cassava suman,0.5,1.4,48.9
East Indian arrowroot starch,0.1,0.5,85.8
Potato chips cheese flvr,6.2,36,51.8
Potato French-fried,3.7,16.8,40.5
Tapioca starch ball,0.4,1.1,82.4
Tapioca starch ball boiled,0,0.2,20.3
Sweet potato w/ sugar fried,1.1,6.9,43.1
Yam nami brined,1,0.2,15
Yam nami dried,6.6,0.4,80.3
Yam purple pudding,1.2,0.8,43.8
Yam purple puddingw/ grtd coconut topping,1.7,1.2,43.4
Yacon tuber raw,0.4,0.1,8.1
Sweet potato orange,1.1,0.3,28.4
Cashew nut roasted,19.2,47.4,24.8
Chestnut roasted,5,1.2,56.4
Chickpea dried,19.2,6.2,61.2
Chickpea dried boiled,5.7,2,39.2
Coconut meat mature,3.9,26.1,17.2
Coconut meat very young,0.8,1.3,6.8
Coconut meat young,1.4,5.3,12.1
Coconut sport,2.4,17.6,14.5
Cowpea seed dried,20.4,1.5,65.8
Davao wonder bean seed dried,23.4,2.7,58.3
Coastal jack-bean seed dried,24.1,2.8,60.7
Coastal jack-bean seed dried boiled,9.6,1.1,30.3
Java olive seed dried,15.4,45,34.1
Kaatoan bangkal seed dried,14.4,0.4,69.5
Kidney bean seed black dried,20.2,1.9,69.1
Kidney bean seed black dried boiled,3.9,0.6,24.1
Kidney bean seed red dried,19.3,1.5,64.2
Kidney bean seed red dried boiled,7.9,0.9,24.6
Kidney bean seed white dried,18.8,1.1,67.1
Kidney bean seed white dried boiled,6.5,0.7,27.3
Lima bean seed dried,19.8,1,64.9
Marang seed dried,7.4,12.5,40.7
Marang seed dried boiled,5.7,7.6,36.6
Mung bean seed green dried,23.2,1.6,60.1
Mung bean seed green dried boiled,11,0.3,27.1
Mung bean seed red dried,22.2,1,62.2
Mung bean seed red dried boiled,6.9,0.7,28.9
Mung bean seed yellow dried,23.5,1.4,64.5
Mung bean seed yellow dried boiled,7.2,0.3,21.1
Negro coffee seed dried,17.5,2.6,69.8
Peanut w/ shell,17.4,26.6,22.9
Peanut w/ shell boiled,13,22.4,15.3
Peanut w/ skin roasted,32.1,50.7,9.1
Peanut w/o skin,25.8,49.5,17.1
Peanut w/o skin roasted,33.2,51.8,7.6
Pigeon pea seed dried,21.2,1.2,63.2
Pigeon pea seed dried boiled,5.7,0.6,24.3
Pili nut,14.2,68.5,6.4
Rice bean seed dried,18.4,3.1,63.7
Sesame seed dried,25.1,53.5,15.1
Soybean seed dried,35.8,17.2,35.9
Soybean seed black dried,36.6,19.8,31.6
Soybean seed black dried boiled,15.3,6.1,31.2
Soybean seed yellow dried,35.8,19.5,34.2
Soybean seed yellow dried boiled,12.4,6.9,38.9
String/Yard long bean seed dried,30.7,2.3,56.8
Velvet bean seed dried,28.2,4.7,55.8
Chickpea cnd,7.4,2.4,20.1
Coconut chip toasted sweetn,4.2,37.5,56.5
Coconut cream curd,13.2,52,24.8
Green pea dried fried & seasoned,19,20.3,52.4
Green pea in brine cnd,6.9,1.1,20.1
Green pea-corn-peanut mixture fried,19.8,26.5,48.4
Lima bean fried & seasoned,24.4,26,42.2
Peanut butter,25.4,45.4,26.4
Peanut butter choc flvr,17.2,48.2,32
Peanut cracker,23,31.2,42.1
Soybean cheese salted,11.4,6.2,4
Soybean seed black fermented,12,7.2,7.6
Soybean cheese soft curd,8.1,5.4,2
Soybean cheese hard curd,12.9,7,2
Soybean pudding/ Geerlig's cheese,2.9,1.4,2.4
Soybean pudding/Geerlig's cheese w/ syrup & tapioca starch ball,2.2,0.1,13.1
Soybean paste miso,13,3.5,15.2
Soybean seed yellow cnd drnd,11.8,5.9,9.4
Watermelon seed dried salted,40.2,43.2,3.1
American black nightshade lvs,4.9,0.6,7.9
Apat-apat fern lvs,7.6,0.4,24.2
Aragan lvs,1.2,0.3,5.4
Asystasia lvs & stems,3.6,0.9,9.6
Aurora lvs & stems,2.8,1.9,19.9
Bago lvs,6.6,1.5,12.8
Bago lvs boiled,3,0.4,6.5
Bago bagin fruit boiled,5.8,0.4,33.1
Bamboo shoot,1.9,0.4,4.1
Bamboo shoot boiled,1.2,0.3,4.5
Banana stem,0.8,0.1,3
Banana heart butuan,1.6,0.4,7.2
Banana heart butuan boiled,0.9,0.2,3.2
Bayuno fruit,3,0.7,13.9
Beet,1.7,0.2,8
Beet boiled,1.9,0.1,9.1
Bitter melon/gourd fruit,1,0.2,4.2
Bitter melon/gourd fruit boiled,0.4,0.2,3.8
Bitter melon/gourd lvs,4.2,0.6,3
Bitter melon/gourd lvs boiled,2.2,0.6,9
Blue pea pod,3.8,0.4,12.2
Borreria lvs & stems,1.7,0.2,14.8
Bottle gourd fruit,0.4,0.1,4.3
Bottle gourd fruit boiled,0.2,0,3.8
Bottle gourd lvs,3.3,0.6,6.2
